Rank	Player	Team	Position	Tier	Tag	Notes
311	Will Kacmarek	MIA	TE	Tier 8		 | VORP: -75.5 | Proj: 32.7pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
312	Kalif Raymond	CHI	WR	Tier 8		 | VORP: -75.8 | Proj: 62.9pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
313	Luke Musgrave	GB	TE	Tier 8		 | VORP: -76.1 | Proj: 32.0pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
314	Eli Raridon	NE	TE	Tier 8		 | VORP: -76.3 | Proj: 31.8pts | Scheme: Josh McDaniels
315	Eli Stowers	PHI	TE	Tier 8		 | VORP: -76.4 | Proj: 31.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
316	Ja'Tavion Sanders	CAR	TE	Tier 8		 | VORP: -76.9 | Proj: 31.1pts | Scheme: Dave Canales/Idzik
317	Jaydon Blue	DAL	RB	Tier 8		 | VORP: -77.1 | Proj: 69.2pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
318	Tory Horton	SEA	WR	Tier 8		 | VORP: -77.5 | Proj: 61.3pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
319	Ben Sinnott	WAS	TE	Tier 8		 | VORP: -77.8 | Proj: 30.1pts | Scheme: David Blough • ⚠️ Bad OL (#25)
320	Tommy Myers	FA	TE	Tier 8		 | VORP: -79.3 | Proj: 28.3pts | Scheme: nan
321	Jalen Tolbert	MIA	WR	Tier 8		 | VORP: -79.7 | Proj: 59.1pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
322	Jack Bech	LV	WR	Tier 8		 | VORP: -80.9 | Proj: 57.9pts | Scheme: Klint Kubiak
323	Joshua Palmer	BUF	WR	Tier 8		 | VORP: -81.3 | Proj: 57.5pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
324	Cyrus Allen	KC	WR	Tier 8		 | VORP: -81.8 | Proj: 57.0pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
325	Cade Stover	HOU	TE	Tier 8		 | VORP: -81.8 | Proj: 25.4pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass)
326	Jackson Hawes	BUF	TE	Tier 8		 | VORP: -81.9 | Proj: 25.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass)
327	Tyreek Hill	FA	WR	Tier 8		🟣[Yahoo ADP 131.1] | VORP: -82.5 | Proj: 56.3pts | Scheme: nan
328	Luke Schoonmaker	DAL	TE	Tier 8		 | VORP: -82.7 | Proj: 24.2pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass)
329	Nate Boerkircher	JAC	TE	Tier 8		 | VORP: -82.9 | Proj: 24.0pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen)
330	Tank Bigsby	PHI	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 130.5] | VORP: -83.1 | Proj: 63.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
331	Brandon Aiyuk	SF	WR	Tier 8		 | VORP: -83.7 | Proj: 55.0pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
332	Matt Hibner	BAL	TE	Tier 8		 | VORP: -84.0 | Proj: 22.8pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🎯 90%+ Route Snaps (60% 12p)
333	Taysom Hill	FA	TE	Tier 8		 | VORP: -84.1 | Proj: 22.7pts | Scheme: nan
333	Michael Trigg	DAL	TE	Tier 8		 | VORP: -84.1 | Proj: 22.7pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass)
335	Najee Harris	NYG	RB	Tier 8		 | VORP: -85.0 | Proj: 61.4pts | Scheme: Matt Nagy • OL #18
336	Luke McCaffrey	WAS	WR	Tier 8		 | VORP: -85.3 | Proj: 53.5pts | Scheme: David Blough • ⚠️ Bad OL (#25)
337	Chimere Dike	TEN	WR	Tier 8		 | VORP: -85.7 | Proj: 53.1pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
338	Zach Ertz	FA	TE	Tier 8		 | VORP: -86.4 | Proj: 19.9pts | Scheme: nan
339	Max Klare	LAR	TE	Tier 8		 | VORP: -87.0 | Proj: 19.2pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
340	Braelon Allen	NYJ	RB	Tier 8		🟣[YAHOO STEAL: ADP 172.8 (+12.8)] | VORP: -87.9 | Proj: 58.4pts | Scheme: Frank Reich • OL #17
341	Mitchell Evans	CAR	TE	Tier 8		 | VORP: -88.9 | Proj: 17.0pts | Scheme: Dave Canales/Idzik
342	Darnell Mooney	NYG	WR	Tier 8		 | VORP: -88.9 | Proj: 49.9pts | Scheme: Matt Nagy
343	Jacob Cowing	SF	WR	Tier 8		 | VORP: -89.1 | Proj: 49.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
344	Chris Brazzell II	CAR	WR	Tier 8		 | VORP: -89.3 | Proj: 49.5pts | Scheme: Dave Canales/Idzik
345	George Holani	SEA	RB	Tier 8		 | VORP: -89.4 | Proj: 56.9pts | Scheme: Brian Fleury • OL #14
346	Emmett Johnson	KC	RB	Tier 8		🟣[YAHOO STEAL: ADP 183.4 (+9.4)] | VORP: -89.8 | Proj: 56.5pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
347	LeQuint Allen Jr.	JAC	RB	Tier 8		 | VORP: -89.9 | Proj: 56.4pts | Scheme: Liam Coen • OL #23
348	Treylon Burks	WAS	WR	Tier 8		 | VORP: -90.9 | Proj: 47.9pts | Scheme: David Blough • ⚠️ Bad OL (#25)
349	Kevin Coleman Jr.	MIA	WR	Tier 8		 | VORP: -90.9 | Proj: 47.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
350	Antonio Williams	WAS	WR	Tier 8		 | VORP: -91.0 | Proj: 47.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
351	Christian Kirk	SF	WR	Tier 8		 | VORP: -91.0 | Proj: 47.8pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
352	Isaiah Davis	NYJ	RB	Tier 8		 | VORP: -91.2 | Proj: 55.2pts | Scheme: Frank Reich • OL #17
353	Ray Davis	BUF	RB	Tier 8		 | VORP: -91.2 | Proj: 55.1pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
354	Trey Benson	ARI	RB	Tier 8		 | VORP: -91.3 | Proj: 55.1pts | Scheme: Mike LaFleur • OL #20
355	Jaylen Wright	MIA	RB	Tier 8		 | VORP: -92.8 | Proj: 53.5pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30)
356	Malik Davis	DAL	RB	Tier 8		 | VORP: -93.4 | Proj: 53.0pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
357	Mack Hollins	NE	WR	Tier 8		 | VORP: -93.5 | Proj: 45.3pts | Scheme: Josh McDaniels
358	Ashton Dulin	IND	WR	Tier 8		 | VORP: -94.2 | Proj: 44.6pts | Scheme: Shane Steichen
359	Devontez Walker	BAL	WR	Tier 8		 | VORP: -94.5 | Proj: 44.3pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
360	Emari Demercado	KC	RB	Tier 8		 | VORP: -94.6 | Proj: 51.7pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
361	Olamide Zaccheaus	ATL	WR	Tier 8		 | VORP: -95.1 | Proj: 43.7pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
362	Chris Brooks	GB	RB	Tier 8		 | VORP: -95.2 | Proj: 51.1pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs)
363	Kaytron Allen	WAS	RB	Tier 8		 | VORP: -95.4 | Proj: 51.0pts | Scheme: David Blough • ⚠️ Bad OL (#25)
364	Miles Davis	CAR	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: Dave Canales/Idzik • OL #8
364	Ty Chandler	NO	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: Kellen Moore • OL #22
364	Kenny McIntosh	FA	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: nan • OL #16
364	Kene Nwangwu	NYJ	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: Frank Reich • OL #17
364	Miles Sanders	FA	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: nan • OL #16
364	Cash Jones	ATL	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
364	Jaydn Ott	KC	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
364	Lew Nichols III	PIT	RB	Tier 8		 | VORP: -96.6 | Proj: 49.7pts | Scheme: Mike McCarthy • OL #19
372	Malik Benson	LV	WR	Tier 8		 | VORP: -96.7 | Proj: 42.1pts | Scheme: Klint Kubiak
373	Kyle Williams	NE	WR	Tier 8		 | VORP: -97.0 | Proj: 41.8pts | Scheme: Josh McDaniels
374	Jamal Haynes	CIN	RB	Tier 8		 | VORP: -97.0 | Proj: 49.3pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
374	Noah Whittington	HOU	RB	Tier 8		 | VORP: -97.0 | Proj: 49.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
374	Kalel Mullings	TEN	RB	Tier 8		 | VORP: -97.0 | Proj: 49.3pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
377	Demond Claiborne	MIN	RB	Tier 8		 | VORP: -97.3 | Proj: 49.0pts | Scheme: Kevin O'Connell • OL #12
378	Tanner Koziol	JAC	TE	Tier 8		 | VORP: -97.8 | Proj: 6.6pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen)
378	Sam Roush	CHI	TE	Tier 8		 | VORP: -97.8 | Proj: 6.6pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🎯 90%+ Route Snaps (41% 12p)
378	Justin Joly	DEN	TE	Tier 8		 | VORP: -97.8 | Proj: 6.6pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
381	Hollywood Brown	PHI	WR	Tier 8		 | VORP: -98.5 | Proj: 40.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
382	Fernando Mendoza	LV	QB	Tier 8		🟣[Yahoo ADP 119.9] | VORP: -98.9 | Proj: 142.2pts | Scheme: Klint Kubiak • OL #24
383	John Metchie III	CAR	WR	Tier 8		 | VORP: -99.0 | Proj: 39.8pts | Scheme: Dave Canales/Idzik
384	James Conner	ARI	RB	Tier 8		🟣[Yahoo ADP 125.8] | VORP: -99.2 | Proj: 47.2pts | Scheme: Mike LaFleur • OL #20
385	Brenen Thompson	LAC	WR	Tier 8		 | VORP: -99.9 | Proj: 38.9pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%)
386	Jonnu Smith	FA	TE	Tier 8		 | VORP: -100.0 | Proj: 3.9pts | Scheme: nan
387	Roman Wilson	PIT	WR	Tier 8		 | VORP: -100.5 | Proj: 38.3pts | Scheme: Mike McCarthy
388	Kaelon Black	SF	RB	Tier 8	TARGET	🎯[SMASH TARGET] | VORP: -101.9 | Proj: 44.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
389	Konata Mumpfield	LAR	WR	Tier 8		 | VORP: -102.3 | Proj: 36.5pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
390	Adam Randall	BAL	RB	Tier 8		 | VORP: -102.6 | Proj: 43.7pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
391	Colbie Young	CIN	WR	Tier 8		 | VORP: -103.3 | Proj: 35.5pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
392	Zavion Thomas	CHI	WR	Tier 8		 | VORP: -104.5 | Proj: 34.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
393	Ollie Gordon II	MIA	RB	Tier 8		 | VORP: -104.6 | Proj: 41.7pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30)
394	Jordan James	SF	RB	Tier 8		 | VORP: -105.0 | Proj: 41.3pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
395	Jordan Whittington	LAR	WR	Tier 8		 | VORP: -105.5 | Proj: 33.3pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
396	Brashard Smith	KC	RB	Tier 8		 | VORP: -105.6 | Proj: 40.8pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
397	Kimani Vidal	LAC	RB	Tier 8		 | VORP: -105.8 | Proj: 40.5pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
398	Dyami Brown	WAS	WR	Tier 8		 | VORP: -106.1 | Proj: 32.6pts | Scheme: David Blough • ⚠️ Bad OL (#25)
399	Isaiah Bond	CLE	WR	Tier 8		 | VORP: -106.6 | Proj: 32.2pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
400	Seth McGowan	IND	RB	Tier 8		 | VORP: -107.0 | Proj: 39.3pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs)
401	Bryce Lance	NO	WR	Tier 8		 | VORP: -107.4 | Proj: 31.4pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
402	Barion Brown	NO	WR	Tier 8		 | VORP: -108.5 | Proj: 30.3pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
403	Nicholas Singleton	TEN	RB	Tier 8		 | VORP: -108.5 | Proj: 37.8pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
404	Jahdae Walker	CHI	WR	Tier 8		 | VORP: -108.6 | Proj: 30.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
405	Tutu Atwell	MIA	WR	Tier 8		 | VORP: -109.3 | Proj: 29.5pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
406	Skyler Bell	BUF	WR	Tier 8		 | VORP: -109.4 | Proj: 29.4pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
407	Tez Johnson	TB	WR	Tier 8		 | VORP: -110.5 | Proj: 28.3pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
408	Sione Vaki	DET	RB	Tier 8		 | VORP: -110.7 | Proj: 35.6pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs)
409	Savion Williams	GB	WR	Tier 8		 | VORP: -111.0 | Proj: 27.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
410	Tai Felton	MIN	WR	Tier 8		 | VORP: -111.0 | Proj: 27.8pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
411	Tim Patrick	NYJ	WR	Tier 8		 | VORP: -111.3 | Proj: 27.4pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
412	Deion Burks	IND	WR	Tier 8		 | VORP: -111.5 | Proj: 27.2pts | Scheme: Shane Steichen
413	Demarcus Robinson	SF	WR	Tier 8		 | VORP: -111.6 | Proj: 27.2pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
414	Kyle Juszczyk	SF	RB	Tier 8		 | VORP: -111.8 | Proj: 34.5pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
415	Michael Penix Jr.	ATL	QB	Tier 8		 | VORP: -111.9 | Proj: 124.9pts | Scheme: Kevin Stefanski/Rees • OL #11
416	Cedric Tillman	CLE	WR	Tier 8		 | VORP: -112.7 | Proj: 26.1pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
417	Frank Gore Jr.	BUF	RB	Tier 8		 | VORP: -112.9 | Proj: 33.4pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
418	Nick Westbrook-Ikhine	IND	WR	Tier 8		 | VORP: -113.1 | Proj: 25.7pts | Scheme: Shane Steichen
419	Jimmy Horn Jr.	CAR	WR	Tier 8		 | VORP: -113.6 | Proj: 25.2pts | Scheme: Dave Canales/Idzik
420	DJ Giddens	IND	RB	Tier 8		 | VORP: -113.8 | Proj: 32.5pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs)
421	Trevor Etienne	CAR	RB	Tier 8		 | VORP: -114.1 | Proj: 32.3pts | Scheme: Dave Canales/Idzik • OL #8
422	Isaiah Williams	NYJ	WR	Tier 8		 | VORP: -114.4 | Proj: 24.4pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
423	Raheim Sanders	CLE	RB	Tier 8		 | VORP: -115.0 | Proj: 31.3pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
424	Tua Tagovailoa	ATL	QB	Tier 8		 | VORP: -115.1 | Proj: 120.7pts | Scheme: Kevin Stefanski/Rees • OL #11
425	Tahj Brooks	CIN	RB	Tier 8		 | VORP: -115.2 | Proj: 31.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
