Rank	Player	Team	Position	Tier	Tag	Notes
1	Jahmyr Gibbs	DET	RB	Tier 1	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 1.4] | VORP: +189.2 | Proj: 335.5pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
2	Bijan Robinson	ATL	RB	Tier 1	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 1.9] | VORP: +174.3 | Proj: 320.7pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
3	Jonathan Taylor	IND	RB	Tier 1	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 6.9] | VORP: +137.2 | Proj: 283.5pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs) • ⚡ Goal-Line Anchor
4	Puka Nacua	LAR	WR	Tier 1	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 4.8] | VORP: +130.1 | Proj: 268.8pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🟢 Green Schedule (≤2 Shadows) • 💰 Contract Yr
5	Ja'Marr Chase	CIN	WR	Tier 1	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 3.4] | VORP: +123.4 | Proj: 262.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
6	Christian McCaffrey	SF	RB	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 5.6] | VORP: +112.1 | Proj: 258.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
7	James Cook	BUF	RB	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 9.8] | VORP: +110.6 | Proj: 256.9pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
8	Jaxon Smith-Njigba	SEA	WR	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 6.8] | VORP: +105.3 | Proj: 244.0pts | Scheme: Brian Fleury • 🎯 Target Funnel (47% 2-WR)
9	Amon-Ra St. Brown	DET	WR	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 7.9] | VORP: +103.6 | Proj: 242.4pts | ⭐ Top-10 Eco (Drew Petzing)
10	Saquon Barkley	PHI	RB	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 12.1] | VORP: +100.4 | Proj: 246.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
11	Kenneth Walker	KC	RB	Tier 2	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 16.4] | VORP: +96.1 | Proj: 242.4pts | ⭐ Top-10 Eco (Andy Reid) • OL #21 • 👑 3-Down Bellcow
12	De'Von Achane	MIA	RB	Tier 2	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 15.6] | VORP: +92.9 | Proj: 239.2pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 👑 3-Down Bellcow • 💰 Contract Yr
13	Derrick Henry	BAL	RB	Tier 2	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 18.0] | VORP: +88.7 | Proj: 235.1pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs) • ⚡ Goal-Line Anchor
14	Chase Brown	CIN	RB	Tier 2	TARGET	💥[EXODIA MUST-HAVE] 🟣[YAHOO STEAL: ADP 16.4 (+4.4)] | VORP: +88.7 | Proj: 235.0pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 👑 3-Down Bellcow
15	Omarion Hampton	LAC	RB	Tier 2	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 18.7] | VORP: +88.2 | Proj: 234.5pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs) • 👑 3-Down Bellcow
16	Ashton Jeanty	LV	RB	Tier 2	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 14.4] | VORP: +85.6 | Proj: 232.0pts | Scheme: Klint Kubiak • OL #24 • 👑 3-Down Bellcow
17	CeeDee Lamb	DAL	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 10.4] | VORP: +78.0 | Proj: 216.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
18	Josh Jacobs	GB	RB	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 33.4] | VORP: +73.4 | Proj: 219.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs) • ⚡ Goal-Line Anchor
19	Breece Hall	NYJ	RB	Tier 3	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 35.4] | VORP: +72.6 | Proj: 218.9pts | Scheme: Frank Reich • OL #17
20	Brock Bowers	LV	TE	Tier 3	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 21.1] | VORP: +72.5 | Proj: 206.9pts | Scheme: Klint Kubiak • 🎯 90%+ Route Snaps (40% 12p) • 💥 TE1 Alpha
21	Justin Jefferson	MIN	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 12.8] | VORP: +71.8 | Proj: 210.6pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
22	Drake London	ATL	WR	Tier 3	TARGET	💥[EXODIA MUST-HAVE] 🟣[YAHOO STEAL: ADP 19.1 (+6.1)] | VORP: +71.1 | Proj: 209.9pts | Scheme: Kevin Stefanski/Rees • 🎯 Target Funnel (54% 2-WR) • 💰 Contract Yr
23	Kyren Williams	LAR	RB	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 29.1] | VORP: +62.8 | Proj: 209.2pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • ⚡ Goal-Line Anchor
24	Nico Collins	HOU	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 22.3 (+5.3)] | VORP: +62.6 | Proj: 201.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
25	Zay Flowers	BAL	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 36.3 (+6.3)] | VORP: +62.4 | Proj: 201.2pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🎯 Target Funnel (60% 2-WR) • 🔥 Breakout Catalyst • 💰 Contract Yr
26	A.J. Brown	NE	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 24.7 (+10.7)] | VORP: +57.2 | Proj: 196.0pts | Scheme: Josh McDaniels • 💰 Contract Yr
27	Tee Higgins	CIN	WR	Tier 3	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 33.5] | VORP: +56.0 | Proj: 194.8pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
28	Chris Olave	NO	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 32.9 (+8.9)] | VORP: +53.3 | Proj: 192.1pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%) • 💰 Contract Yr
29	DeVonta Smith	PHI	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 29.5] | VORP: +52.2 | Proj: 190.9pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
30	Javonte Williams	DAL	RB	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 34.6] | VORP: +51.1 | Proj: 197.5pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
31	George Pickens	DAL	WR	Tier 3	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 22.4] | VORP: +50.9 | Proj: 189.7pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
32	Josh Allen	BUF	QB	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 19.8] | VORP: +49.2 | Proj: 339.7pts | ⭐ Top-10 Eco (Joe Brady) • OL #7 • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ Dual-Threat Floor
33	Cam Skattebo	NYG	RB	Tier 4	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 41.7] | VORP: +48.9 | Proj: 195.2pts | Scheme: Matt Nagy • OL #18 • 👑 3-Down Bellcow • 🔥 Breakout Catalyst
34	Ladd McConkey	LAC	WR	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 45.5 (+6.5)] | VORP: +46.7 | Proj: 185.5pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%) • 🔥 Breakout Catalyst
35	David Montgomery	HOU	RB	Tier 4	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 52.4] | VORP: +46.7 | Proj: 193.0pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🔥 Breakout Catalyst
36	Rashee Rice	KC	WR	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 34.5 (+6.5)] | VORP: +43.8 | Proj: 182.6pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass) • 💰 Contract Yr
37	Malik Nabers	NYG	WR	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 32.3 (+5.3)] | VORP: +41.1 | Proj: 179.9pts | Scheme: Matt Nagy
38	Trey McBride	ARI	TE	Tier 4	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 25.8] | VORP: +39.4 | Proj: 167.9pts | Scheme: Mike LaFleur
39	D'Andre Swift	CHI	RB	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 47.4] | VORP: +38.0 | Proj: 184.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • ⚠️ Committee Trap
40	Travis Etienne	NO	RB	Tier 4	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 43.2] | VORP: +38.0 | Proj: 184.3pts | Scheme: Kellen Moore • OL #22 • 🔥 Breakout Catalyst
41	Quinshon Judkins	CLE	RB	Tier 4	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 53.2] | VORP: +37.7 | Proj: 184.0pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🔥 Breakout Catalyst
42	Tyler Warren	IND	TE	Tier 4	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 47.2] | VORP: +37.2 | Proj: 165.3pts | Scheme: Shane Steichen • 💥 TE1 Alpha
43	Garrett Wilson	NYJ	WR	Tier 4	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 49.4 (+12.4)] | VORP: +36.8 | Proj: 175.5pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
