Rank,Player,Team,Position,Tier,Notes
152,Isaiah Likely,NYG,TE,Tier T7,[TIER 8][🔥CATALYST] New Situation + O/S Top 100 | FP: 100.4pts (VORP: -14.4) | OL: 3.0/5
153,Ben Sauls,NYG,K,Tier T7,[TIER 8] OL: 3.0/5
154,Hunter Henry,NE,TE,Tier T8,[TIER 4] FP: 107.4pts (VORP: -15.3) | OL: 3.0/5
155,Jared Goff,DET,QB,Tier T8,[TIER 5][⭐TOP OFFENSE] #3 Lions Offense - Most Undervalued Asset | FP: 262.4pts (VORP: -15.6) | OL: 3.5/5
156,Jake Moody,FA,K,Tier T8,[TIER 8]
156,Brandon McManus,FA,K,Tier T8,[TIER 8]
156,Zane Gonzalez,FA,K,Tier T8,[TIER 8]
159,Carnell Tate,TEN,WR,Tier T8,[⚠️DIRTY 30][TIER 6] FP: 134.8pts (VORP: -16.2) | OL: 2.0/5
160,Jordan Addison,MIN,WR,Tier T8,[💤SLEEPER][TIER 7][💲CONTRACT] FP: 134.9pts (VORP: -16.8) | OL: 4.0/5
161,Marvin Harrison Jr.,ARI,WR,Tier T8,[🟡PASS][TIER 6] FP: 125.4pts (VORP: -17.0) | OL: 3.0/5 | Luck: +23.4pts
162,Jakobi Meyers,JAC,WR,Tier T8,[🟡PASS][TIER 7] FP: 145.3pts (VORP: -17.8) | OL: 4.0/5
163,Dalton Schultz,HOU,TE,Tier T8,[TIER 4] FP: 107.8pts (VORP: -18.4) | OL: 3.0/5
164,Matthew Stafford,LAR,QB,Tier T8,[TIER 4] FP: 271.6pts (VORP: -18.4) | OL: 4.5/5
165,TreVeyon Henderson,NE,RB,Tier T8,[⚠️DIRTY 30][TIER 6][⚠️FOOL'S GOLD] FP: 158.0pts (VORP: -18.7) | OL: 3.0/5 | %RB1: 60% | Screen #4
166,T.J. Hockenson,MIN,TE,Tier T8,[TIER 8] FP: 102.6pts (VORP: -20.6) | OL: 4.0/5
167,Michael Wilson,ARI,WR,Tier T8,[TIER 6][💲CONTRACT] FP: 117.9pts (VORP: -20.6) | OL: 3.0/5 | Luck: +11.5pts
168,Alec Pierce,IND,WR,Tier T8,[💤SLEEPER][TIER 6] FP: 111.9pts (VORP: -20.7) | OL: 4.5/5 | Luck: +17.2pts
169,Chris Godwin Jr.,TB,WR,Tier T8,[🎯TARGET][TIER 6] FP: 126.5pts (VORP: -20.9) | OL: 4.0/5
170,Josh Downs,IND,WR,Tier T8,[💥EXODIA][TIER 7][💲CONTRACT] FP: 120.2pts (VORP: -20.9) | OL: 4.5/5
171,Romeo Doubs,NE,WR,Tier T8,[🎯TARGET][TIER 8] FP: 129.0pts (VORP: -22.1) | OL: 3.0/5
172,Baker Mayfield,TB,QB,Tier T8,[TIER 8] FP: 251.4pts (VORP: -23.1) | OL: 4.0/5 | Luck: -10.6pts
173,Jayden Reed,GB,WR,Tier T8,[💤SLEEPER][TIER 7] FP: 133.4pts (VORP: -24.2) | OL: 2.0/5
174,Cade Otton,TB,TE,Tier T8,[💤SLEEPER][TIER 5] FP: 97.3pts (VORP: -24.4) | OL: 4.0/5
175,AJ Barner,SEA,TE,Tier T8,[💤SLEEPER][TIER 4] FP: 93.7pts (VORP: -24.8) | OL: 3.5/5 | 2-WR: 47%
176,Chuba Hubbard,CAR,RB,Tier T8,[🎯TARGET][TIER 9][🥈SILVER] FP: 151.9pts (VORP: -25.3) | OL: 3.0/5 | %RB1: 79%
177,Kyler Murray,MIN,QB,Tier T8,[💥EXODIA][TIER 8] FP: 259.6pts (VORP: -25.5) | OL: 4.0/5
178,Chig Okonkwo,WAS,TE,Tier T8,[TIER 4] FP: 89.9pts (VORP: -25.6) | OL: 2.0/5
179,Tyler Shough,NO,QB,Tier T8,[🎯TARGET][TIER 5][🔥CATALYST] Weapon Upgrades + O/S Top 100 | FP: 264.9pts (VORP: -25.7) | OL: 3.0/5
180,Jordan Love,GB,QB,Tier T8,[🟡PASS][TIER 8] FP: 255.3pts (VORP: -26.2) | OL: 2.0/5
181,Daniel Jones,IND,QB,Tier T8,[TIER 8] FP: 240.4pts (VORP: -27.3) | OL: 4.5/5
182,Stefon Diggs,WAS,WR,Tier T8,[⚠️DIRTY 30][TIER 7] FP: 144.8pts (VORP: -27.5) | OL: 2.0/5
183,Rico Dowdle,PIT,RB,Tier T8,[🎯TARGET][TIER 8][🥈SILVER] FP: 156.1pts (VORP: -28.3) | OL: 3.5/5 | %RB1: 69%
184,Jadarian Price,SEA,RB,Tier T8,[🎯TARGET][TIER 6][⚠️FOOL'S GOLD] FP: 155.0pts (VORP: -28.7) | OL: 3.5/5 | %RB1: 77% | 2-WR: 47%
185,Malik Willis,MIA,QB,Tier T8,[💥EXODIA][TIER 5] FP: 265.7pts (VORP: -28.7) | OL: 2.5/5
186,Matthew Golden,GB,WR,Tier T8,[TIER 8][⭐TOP OFFENSE] #8 Packers Offense - Most Undervalued Asset | FP: 115.3pts (VORP: -30.0) | OL: 2.0/5
187,C.J. Stroud,HOU,QB,Tier T8,[TIER 5][💲CONTRACT] FP: 246.8pts (VORP: -31.0) | OL: 3.0/5
188,Tony Pollard,TEN,RB,Tier T8,[⚠️DIRTY 30][TIER 7][⚠️FOOL'S GOLD] FP: 162.8pts (VORP: -31.3) | OL: 2.0/5 | %RB1: 59%
