player_name,clean_name,duracell_ecr,duracell_tier,duracell_tier_tag,risk_rating,volatility_index,is_contract_year,contract_year_value,contract_prev_ppg,rb_tough_matchups,rb_playoff_toughness,wr_shadow_cb_count,wr_coverage_score
Nico Collins,nico collins,18,2,consensus,2.5,Medium,0,0,,,,5.0,3.0
Kenneth Walker III,kenneth walker iii,19,2,guy,1.6,Low (High Floor Alpha),0,0,,4.0,1.0,,
A.J. Brown,aj brown,20,2,consensus,2.5,Medium,1,0,14.7,,,3.0,2.0
Derrick Henry,derrick henry,21,2,consensus,2.5,Medium,0,0,,2.0,0.0,,
Trey McBride,trey mcbride,22,2,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
George Pickens,george pickens,23,2,consensus,2.5,Medium,0,0,,,,,
Jeremiyah Love,jeremiyah love,24,2,consensus,2.5,Medium,0,0,,3.0,1.0,,
Chase Brown,chase brown,25,3,consensus,2.5,Medium,0,0,,4.0,1.0,,
Rashee Rice,rashee rice,26,3,consensus,2.5,Medium,1,0,18.5,,,5.0,0.0
Chris Olave,chris olave,27,3,consensus,2.5,Medium,1,1,16.8,,,5.0,2.0
